seq	abundance	similarity
SRR3085695.6598	1	0
SRR3085689.175204	1	55
SRR3085688.79175	1	0
SRR3085695.24450	1	18
SRR3085694.103729	1	1
SRR3085694.61176	1	3
SRR3085693.108446	1	13
SRR3085695.96980	1	4601
SRR3085698.98685	9	132
SRR3085692.257522	1	0
SRR3085700.40154	1	360
SRR3085701.82473	1	54
SRR3085698.149647	1	36
SRR3085701.137155	1	1
SRR3085689.151418	1	131
SRR3085688.31743	3	4
SRR3085689.38126	1	0
SRR3085688.51993	1	3
SRR3085696.55943	1	289
SRR3085698.175357	1	127
SRR3085696.41472	1	978
SRR3085692.263538	1	3
SRR3085701.77903	1	0
SRR3085698.88395	1	361
SRR3085698.79772	1	3
SRR3085692.131383	1	429
SRR3085697.37350	1	124
SRR3085688.12695	1	450
SRR3085701.78560	1	28
SRR3085693.12867	1	254
SRR3085696.46149	1	3929
SRR3085693.24148	1	14
SRR3085689.97137	2	61
SRR3085695.107510	1	0
SRR3085689.197266	2	10
SRR3085701.40858	1	3511
SRR3085690.62112	1	7
SRR3085692.297200	1	364
SRR3085696.58083	1	65
SRR3085690.216942	1	5
SRR3085694.128719	1	126
SRR3085692.84620	1	10
SRR3085692.128518	1	19
SRR3085690.95851	1	0
SRR3085691.22733	3	701
SRR3085689.36526	1	3
SRR3085695.85980	1	0
SRR3085689.127327	1	2
SRR3085697.1278	1	0
SRR3085689.31599	1	0
SRR3085694.150006	1	0
SRR3085689.188258	1	53
SRR3085698.59399	1	65
SRR3085689.66506	1	5
SRR3085691.33440	1	4
SRR3085700.51589	3	7
SRR3085698.49214	1	476
SRR3085694.142526	1	0
SRR3085693.86910	1	135
SRR3085701.95305	293	30
SRR3085691.162086	1	677
SRR3085698.171008	1	747
SRR3085689.179988	1	315
SRR3085694.113845	1	6
SRR3085700.54228	3	319
SRR3085693.130021	1	6
SRR3085694.93367	1	55
SRR3085697.48068	1	246
SRR3085697.107979	1	0
SRR3085689.55288	1	1
SRR3085699.68053	1	419
SRR3085696.23377	2	90
SRR3085689.20864	7	1
SRR3085692.253801	1	13
SRR3085689.161902	1	0
SRR3085692.98896	1	154
SRR3085700.44843	1	133
SRR3085688.48354	1	11
SRR3085696.192025	1	9
SRR3085698.174437	1	551
SRR3085689.31857	1	141
SRR3085696.44680	1	0
SRR3085694.110095	119	17
SRR3085698.46652	1	509
SRR3085689.101332	1	0
SRR3085700.99174	1	9
SRR3085692.5435	1	2
SRR3085699.41305	1	4
SRR3085695.31059	1	5
SRR3085698.45928	1	4
SRR3085698.160579	29	4
SRR3085692.243614	1	153
SRR3085690.188568	1	273
SRR3085700.60106	1	393
SRR3085700.75018	1	0
SRR3085700.39529	1	3554
SRR3085700.5189	3	0
SRR3085691.61345	1	9
SRR3085691.117791	1	205
SRR3085689.62934	1	0
SRR3085701.17664	1	2
SRR3085695.82156	1	0
SRR3085688.77706	1	354
SRR3085701.102531	1	60
SRR3085692.65418	1	0
SRR3085690.34711	1	0
SRR3085699.63926	1	316
SRR3085697.39836	1	16
SRR3085693.48266	1	65
SRR3085689.148887	1	0
SRR3085695.99912	1	111
SRR3085689.172442	1	53
SRR3085701.94097	1	234
SRR3085701.104600	1	215
SRR3085692.258049	1	1
SRR3085698.75410	1	173
SRR3085694.35797	1	128
SRR3085691.123302	1	0
SRR3085691.47607	1	238
SRR3085693.9089	1	59
SRR3085694.153336	1	0
SRR3085691.161676	6	131
SRR3085693.56464	1	2
SRR3085694.141863	1	2537
SRR3085690.173406	1	0
SRR3085701.7588	1	126
SRR3085692.4586	1	4599
SRR3085695.105041	1	2776
SRR3085692.272878	1	41
SRR3085696.72013	1	0
SRR3085698.59666	1	2
SRR3085697.39177	1	0
SRR3085697.36570	7	0
SRR3085689.222610	1	323
SRR3085691.132319	1	2
SRR3085688.51369	1	0
SRR3085692.2144	7	2
SRR3085700.112969	1	541
SRR3085699.31023	1	0
SRR3085693.64903	1	240
SRR3085691.74994	1	2
SRR3085689.233738	1	134
SRR3085696.78425	1	0
SRR3085701.46813	1	1
SRR3085697.116682	1	0
SRR3085689.90936	1	16
SRR3085688.1	434	4981
SRR3085690.86116	1	7
SRR3085692.193659	1	366
SRR3085690.14990	1	467
SRR3085690.153427	1	27
SRR3085689.78286	1	0
SRR3085694.152865	3	36
SRR3085694.129039	501	186
SRR3085701.137863	1	29
SRR3085690.190904	1	4029
SRR3085693.133946	2	212
SRR3085701.96483	1	1
SRR3085692.245115	2	0
SRR3085698.110793	1	19
SRR3085696.89567	1	1
SRR3085701.121184	1	7
SRR3085692.50655	1	1
SRR3085688.41848	1	18
SRR3085690.64110	1	1
SRR3085689.108697	1	1
SRR3085689.86161	1	22
SRR3085691.125437	1	186
SRR3085700.9368	1	145
SRR3085692.84012	3	13
SRR3085689.13581	1	0
SRR3085690.210811	1	4583
SRR3085696.118994	1	718
SRR3085694.64851	2	36
SRR3085696.96422	1	6
SRR3085692.161877	1	92
SRR3085691.90864	1	47
SRR3085691.39300	1	46
SRR3085689.11620	1	0
SRR3085693.140572	1	0
SRR3085692.29131	1	0
SRR3085701.39671	1	27
SRR3085689.82564	1	2
SRR3085692.214739	1	340
SRR3085689.238664	1	188
SRR3085700.120799	1	20
SRR3085697.118778	3	296
SRR3085692.269532	1	4214
SRR3085689.161535	2	3
SRR3085692.207940	2	73
SRR3085699.2102	15	2
SRR3085689.244364	1	1
SRR3085689.237781	1	0
SRR3085698.101967	1	103
SRR3085695.80250	1	210
SRR3085700.114502	11	258
SRR3085701.70925	1	26
SRR3085694.117257	1	15
SRR3085695.64109	1	201
SRR3085698.151903	1	2706
SRR3085689.82123	1	0
SRR3085689.166290	1	23
SRR3085692.22038	1	440
SRR3085691.76540	1	699
SRR3085700.17754	1	15
SRR3085693.84015	1	235
SRR3085694.60354	7	209
SRR3085694.23233	1	0
SRR3085692.138570	1	5
SRR3085691.116940	1	30
SRR3085696.98309	1	62
SRR3085692.237036	1	7
SRR3085696.96671	1	2460
SRR3085694.116819	1	1
SRR3085690.151668	1	19
SRR3085701.120204	1	0
SRR3085697.27514	1	0
